,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1292,Unlabeled 1292,Unlabeled 1292,Unlabeled 1293,Unlabeled 1293,Unlabeled 1293,Unlabeled 1294,Unlabeled 1294,Unlabeled 1294,Unlabeled 1295,Unlabeled 1295,Unlabeled 1295,Unlabeled 1296,Unlabeled 1296,Unlabeled 1296,Unlabeled 1297,Unlabeled 1297,Unlabeled 1297,Unlabeled 1298,Unlabeled 1298,Unlabeled 1298,Unlabeled 1299,Unlabeled 1299,Unlabeled 1299,Unlabeled 1300,Unlabeled 1300,Unlabeled 1300,Unlabeled 1301,Unlabeled 1301,Unlabeled 1301,Unlabeled 1302,Unlabeled 1302,Unlabeled 1302,Unlabeled 1303,Unlabeled 1303,Unlabeled 1303
,ID,"1945C8F4C26B4E011F0","1945C8F4C26B4E011F0","1945C8F4C26B4E011F0","1995C8F4C26B4E011F0","1995C8F4C26B4E011F0","1995C8F4C26B4E011F0","19D5C8F4C26B4E011F0","19D5C8F4C26B4E011F0","19D5C8F4C26B4E011F0","19E5C8F4C26B4E011F0","19E5C8F4C26B4E011F0","19E5C8F4C26B4E011F0","1A35C8F4C26B4E011F0","1A35C8F4C26B4E011F0","1A35C8F4C26B4E011F0","1A45C8F4C26B4E011F0","1A45C8F4C26B4E011F0","1A45C8F4C26B4E011F0","1A65C8F4C26B4E011F0","1A65C8F4C26B4E011F0","1A65C8F4C26B4E011F0","1A75C8F4C26B4E011F0","1A75C8F4C26B4E011F0","1A75C8F4C26B4E011F0","1A95C8F4C26B4E011F0","1A95C8F4C26B4E011F0","1A95C8F4C26B4E011F0","1AA5C8F4C26B4E011F0","1AA5C8F4C26B4E011F0","1AA5C8F4C26B4E011F0","1AB5C8F4C26B4E011F0","1AB5C8F4C26B4E011F0","1AB5C8F4C26B4E011F0","1AC5C8F4C26B4E011F0","1AC5C8F4C26B4E011F0","1AC5C8F4C26B4E011F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.050000,671.654297,232.780579,-1081.849121,664.513367,235.489822,-981.566223,725.130249,234.907455,-936.659668,823.973206,231.824905,-975.383789,-1060.570801,208.115402,-1361.717407,-1005.557983,215.866699,-1377.283691,-975.713745,208.512512,-1427.238770,-1070.521484,328.377899,-1458.599487,-1067.858398,196.511734,377.177399,-1079.415894,224.592026,377.971649,-1196.333984,242.326874,305.371704,-1172.097046,240.959274,482.214233
7,0.058333,671.660095,232.790787,-1081.842285,664.519531,235.500427,-981.563416,725.125305,234.916351,-936.654419,823.970276,231.825745,-975.378296,-1060.565674,208.110291,-1361.711304,-1005.575867,215.846405,-1377.284302,-975.729675,208.487503,-1427.226196,-1070.530151,328.364136,-1458.598999,-1067.868896,196.512390,377.179932,-1079.420288,224.573242,377.993713,-1196.321045,242.331726,305.352203,-1172.104736,240.939133,482.215210
8,0.066667,671.671204,232.786118,-1081.847168,664.523010,235.500626,-981.557983,725.147217,234.914551,-936.656494,823.959961,231.837662,-975.359009,-1060.556030,208.119629,-1361.708252,-1005.575806,215.843781,-1377.297241,-975.725952,208.490707,-1427.220703,-1070.512939,328.351868,-1458.604736,-1067.861450,196.503647,377.187927,-1079.419434,224.562103,378.009430,-1196.329346,242.330261,305.361969,-1172.063477,240.950668,482.202637
9,0.075000,671.678528,232.786774,-1081.843872,664.537781,235.502350,-981.556885,725.156738,234.928238,-936.653076,823.989380,231.853806,-975.361023,-1060.545532,208.138306,-1361.717163,-1005.555420,215.874649,-1377.300049,-975.715210,208.506927,-1427.230713,-1070.487183,328.374542,-1458.589355,-1067.850830,196.505814,377.171906,-1079.440674,224.557343,378.000000,-1196.320312,242.315536,305.362640,-1172.047852,240.948486,482.180115
10,0.083333,671.673218,232.788422,-1081.849365,664.555176,235.502899,-981.548279,725.144775,234.926208,-936.641296,823.980286,231.853424,-975.361877,-1060.524780,208.149734,-1361.716675,-1005.530701,215.880981,-1377.289062,-975.716553,208.512161,-1427.242554,-1070.475098,328.384735,-1458.601929,-1067.837158,196.508453,377.176788,-1079.431519,224.578735,377.988464,-1196.311768,242.331940,305.364441,-1172.060547,240.945862,482.203949
11,0.091667,671.659058,232.780807,-1081.837891,664.538025,235.494446,-981.554443,725.139954,234.913071,-936.661133,823.977966,231.829636,-975.366699,-1060.540649,208.136505,-1361.718506,-1005.541199,215.866318,-1377.287598,-975.710693,208.517044,-1427.238037,-1070.484497,328.381409,-1458.598877,-1067.850342,196.504028,377.176483,-1079.404663,224.586807,377.963745,-1196.322632,242.337677,305.371429,-1172.086792,240.945297,482.210419
12,0.100000,671.656555,232.785156,-1081.838989,664.508118,235.496460,-981.559326,725.123962,234.895264,-936.661560,823.967285,231.812332,-975.365479,-1060.553955,208.118805,-1361.694824,-1005.579346,215.852127,-1377.308838,-975.725220,208.496323,-1427.233643,-1070.511230,328.364990,-1458.598877,-1067.873291,196.502319,377.176453,-1079.405640,224.577332,377.989807,-1196.317017,242.329895,305.351624,-1172.108521,240.936630,482.198395
13,0.108333,671.658752,232.780136,-1081.844971,664.504028,235.492401,-981.562744,725.120483,234.904648,-936.657471,823.960388,231.819473,-975.374634,-1060.550171,208.118973,-1361.717041,-1005.578186,215.838043,-1377.296265,-975.735474,208.498047,-1427.228271,-1070.530762,328.361755,-1458.590576,-1067.864136,196.485977,377.188049,-1079.439819,224.563721,378.002380,-1196.329956,242.321869,305.347595,-1172.092529,240.941299,482.211090
14,0.116667,671.682556,232.789963,-1081.856201,664.530823,235.490448,-981.558838,725.133240,234.935349,-936.638916,823.976624,231.843094,-975.374939,-1060.529541,208.137360,-1361.719849,-1005.546814,215.842148,-1377.284668,-975.715454,208.512131,-1427.226562,-1070.490723,328.368774,-1458.587402,-1067.866211,196.488312,377.180145,-1079.441772,224.543167,378.015472,-1196.326904,242.305481,305.362610,-1172.072144,240.929596,482.201599
15,0.125000,671.681335,232.792297,-1081.853149,664.541748,235.507477,-981.555481,725.125427,234.931717,-936.663025,823.986877,231.838638,-975.371765,-1060.503174,208.144043,-1361.709473,-1005.536926,215.874176,-1377.285034,-975.691284,208.533493,-1427.237549,-1070.458374,328.393799,-1458.581909,-1067.864746,196.525192,377.129974,-1079.402588,224.565811,377.979279,-1196.326416,242.294357,305.373871,-1172.074585,240.940475,482.205292
16,0.133333,671.673035,232.795563,-1081.847290,664.544373,235.506104,-981.551819,725.148499,234.925797,-936.658447,823.979004,231.849258,-975.365112,-1060.521851,208.151077,-1361.704224,-1005.525208,215.897781,-1377.275757,-975.689270,208.540421,-1427.228149,-1070.460327,328.386566,-1458.577148,-1067.845215,196.509613,377.152496,-1079.385376,224.586777,377.973175,-1196.322266,242.322754,305.359558,-1172.075073,240.930145,482.209961
17,0.141667,671.658813,232.790787,-1081.844849,664.526428,235.494537,-981.563171,725.119934,234.911179,-936.658936,823.964355,231.819336,-975.380554,-1060.542114,208.139862,-1361.710693,-1005.537537,215.872543,-1377.288330,-975.712830,208.515869,-1427.233398,-1070.488281,328.365967,-1458.578979,-1067.862305,196.504288,377.159882,-1079.391846,224.598877,377.976135,-1196.316772,242.333313,305.351898,-1172.095947,240.948410,482.219757
18,0.150000,671.665771,232.787445,-1081.848633,664.499146,235.492447,-981.568665,725.101074,234.919601,-936.661865,823.946106,231.818359,-975.400635,-1060.554932,208.138168,-1361.710449,-1005.579224,215.846695,-1377.307129,-975.732849,208.493042,-1427.227783,-1070.513184,328.346497,-1458.596313,-1067.874390,196.494293,377.168976,-1079.428345,224.563583,377.990326,-1196.304199,242.325836,305.336945,-1172.108643,240.954498,482.211304
19,0.158333,671.658203,232.780548,-1081.858765,664.499329,235.496918,-981.571594,725.098083,234.930496,-936.677124,823.949707,231.832214,-975.383972,-1060.545410,208.133759,-1361.707031,-1005.572571,215.847656,-1377.282715,-975.758911,208.498367,-1427.220459,-1070.499878,328.364655,-1458.586060,-1067.866455,196.499939,377.195068,-1079.435669,224.554962,378.005066,-1196.300171,242.324265,305.319641,-1172.088501,240.964722,482.196014
20,0.166667,671.676331,232.798462,-1081.851318,664.522095,235.501648,-981.569763,725.114807,234.940903,-936.658997,823.966675,231.849258,-975.374939,-1060.515625,208.153519,-1361.706909,-1005.547180,215.872086,-1377.267700,-975.716614,208.526764,-1427.214355,-1070.454712,328.387695,-1458.566162,-1067.858643,196.497818,377.187073,-1079.430908,224.561630,378.002045,-1196.298462,242.306091,305.331787,-1172.055542,240.956955,482.191406
21,0.175000,671.656799,232.796829,-1081.844360,664.530334,235.499557,-981.576050,725.128967,234.926834,-936.664612,823.981812,231.853043,-975.377808,-1060.506958,208.147751,-1361.706909,-1005.521912,215.879669,-1377.290527,-975.691223,208.544312,-1427.226562,-1070.437378,328.391663,-1458.558472,-1067.838135,196.512848,377.166199,-1079.404175,224.585602,377.974426,-1196.320312,242.312286,305.357544,-1172.052246,240.926987,482.202209
